                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    116,                 1.3609,                0.95388,                 1.0463,                0.97896,                0.03333,                0.05131,                0.01139,                 3.0193,                 4.6378,                 2.1635,              0.0014772,              0.0014772,              0.0014772
                    117,                 1.3492,                0.96319,                 1.0573,                0.12638,                0.06667,                0.06421,                0.02193,                 3.1601,                 4.7273,                 2.1446,              0.0014756,              0.0014756,              0.0014756
                    118,                 1.3091,                0.91823,                 1.0258,                0.34381,                   0.15,                0.08731,                0.03986,                 2.8096,                  3.965,                 2.2722,              0.0014739,              0.0014739,              0.0014739
                    119,                  1.319,                0.88531,                 1.0416,                0.19693,                0.18333,                0.10505,                0.04607,                 2.7658,                 4.1974,                 2.2069,              0.0014723,              0.0014723,              0.0014723
                    120,                 1.3478,                0.90521,                 1.0378,                 0.2314,                0.18333,                0.11702,                0.05884,                 2.3587,                 4.2933,                 1.9405,              0.0014706,              0.0014706,              0.0014706
                    121,                  1.284,                0.91733,                 1.0322,                0.75493,                    0.1,                0.09967,                0.05002,                  2.539,                 4.1263,                 1.9481,               0.001469,               0.001469,               0.001469
                    122,                 1.2999,                 0.8663,                 1.0239,                0.11029,                0.16919,                0.05195,                0.02629,                 2.5915,                 4.5705,                 1.9537,              0.0014673,              0.0014673,              0.0014673
                    123,                 1.2852,                0.90665,                 1.0158,                0.09952,                0.08333,                0.04064,                0.01545,                 2.8858,                 4.4554,                 2.2708,              0.0014657,              0.0014657,              0.0014657
                    124,                 1.2454,                0.91345,                 1.0053,                0.64654,                0.03333,                0.02981,                0.01379,                 2.8188,                 5.1032,                 2.1547,               0.001464,               0.001464,               0.001464
                    125,                 1.3355,                0.87821,                 1.0195,                0.00388,                0.03333,                0.00215,                0.00022,                 3.0963,                 5.9582,                 2.4001,              0.0014624,              0.0014624,              0.0014624
